City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
640,San Jose Pinula,GT,73.92,scattered clouds,14.5461,-90.4114,Finca Santiago
643,Sao Felix Do Xingu,BR,76.39,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
646,Kirando,TZ,72.55,broken clouds,-7.4167,30.6,Lakeshore Lodge
647,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
651,Cabinda,AO,78.8,broken clouds,-5.55,12.2,Hotel Maiombe
654,Barra Do Bugres,BR,84.24,broken clouds,-15.0725,-57.1811,Hotel 4AM Petrofurt
656,El Campo,US,82.89,broken clouds,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
657,Belawan,ID,77.29,overcast clouds,3.7755,98.6832,Lilik Hidayat Pulungan
658,Koumac,NC,74.68,few clouds,-20.5667,164.2833,Le Monitel
660,Lethem,GY,79.52,overcast clouds,3.3803,-59.7968,Savannah Inn
661,Beni Mazar,EG,72.0,clear sky,28.4962,30.8029,Link Co-Working space & Development center
662,Alyangula,AU,79.39,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
666,Sisophon,KH,79.34,overcast clouds,13.5859,102.9737,Pyramid Hotel
667,Dwarka,IN,83.62,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
670,Murbad,IN,85.21,broken clouds,19.25,73.4,OYO 62747 Hotel Sarika
673,Tubuala,PA,83.34,overcast clouds,9.5167,-79.0333,Río Nabagana
674,Lewistown,US,89.01,clear sky,40.5992,-77.5714,Quality Inn & Suites
676,Oktyabrskoye,RU,86.14,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
678,Nagua,DO,71.65,broken clouds,19.3832,-69.8474,Hotel Cambri
681,Long,TH,78.75,scattered clouds,18.0761,99.8326,Nopphakoe Homestay
686,Ingham,US,84.38,clear sky,42.6,-84.3833,Sunset Place
688,Basco,PH,83.59,few clouds,20.4487,121.9702,Nathaniel's Lodge
694,Chokwe,MZ,71.74,broken clouds,-24.5333,32.9833,Complexo Sonho Real
